#lat,long,speed,altitude,time
23.58230328895989,87.276177050282,0.0,48.587750459146925,06:01:33,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.59117909688159,06:01:34,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.5976105338245,06:01:35,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.60816330398932,06:01:36,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.62314557518352,06:01:37,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.637241244411705,06:01:38,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.64460413310663,06:01:39,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.794836039216115,06:01:40,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.81206019326894,06:01:41,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.81845141118706,06:01:42,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.81969980186998,06:01:43,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.82340616501572,06:01:44,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.824690777706756,06:01:45,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.82547990779644,06:01:46,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.822123562482275,06:01:47,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.813722469739254,06:01:48,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.81546858338457,06:01:49,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.81430947163004,06:01:50,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.805002740054086,06:01:51,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.80838625270821,06:01:52,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.81083360563318,06:01:53,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.8133879668479,06:01:54,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.81914166376066,06:01:55,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.821381364546326,06:01:56,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.82632524454975,06:01:57,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.834749096295845,06:01:58,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.846328830212464,06:01:59,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.86088351523014,06:02:00,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.87094523398201,06:02:01,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.94565630445864,06:02:02,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.93219265503693,06:02:03,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.92073351312051,06:02:04,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.90121714341403,06:02:05,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.87387625233024,06:02:06,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.842178691487796,06:02:07,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.81280115467305,06:02:08,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.78551832341719,06:02:09,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.76195521042024,06:02:10,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.720554595523886,06:02:11,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.681130942778,06:02:12,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.64013432415514,06:02:13,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.59607118140947,06:02:14,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.57563512177518,06:02:15,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.565217630918134,06:02:16,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.55371607625397,06:02:17,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.53774811494917,06:02:18,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.52276372452018,06:02:19,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.50667343663265,06:02:20,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.494203531125834,06:02:21,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.47127196756266,06:02:22,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.442495888230795,06:02:23,BusStop_8+
23.58230328895989,87.276177050282,0.0,48.4191965550895,06:02:24,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.38832156009331,06:02:25,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.35604617471583,06:02:26,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.330469051379666,06:02:27,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.30126870998454,06:02:28,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.276798498741144,06:02:29,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.25361906529438,06:02:30,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.22027583067998,06:02:31,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.17981291689546,06:02:32,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.14650703454448,06:02:33,BusStop_8+
23.582304926563772,87.276000853474,0.0,48.11269631090379,06:02:34
23.582304926563772,87.276000853474,0.0,48.08639533652046,06:02:35
23.582304926563772,87.276000853474,0.0,48.06248144603965,06:02:36
23.582304926563772,87.276000853474,0.0,48.03221752561209,06:02:37
23.582304926563772,87.276000853474,0.0,47.99462261354895,06:02:38
23.580339103708184,87.27940421625829,0.0,36.596582970986084,06:03:30
23.580339103708184,87.27940421625829,0.0,36.60623728406543,06:03:31,BusStop_9+
23.580339103708184,87.27940421625829,0.0,36.62130863522911,06:03:32,BusStop_9+
23.580339103708184,87.27940421625829,0.0,36.63309954561698,06:03:33,BusStop_9+
23.580339103708184,87.27940421625829,0.0,36.721833040463416,06:03:34
23.58032417077742,87.27945898449832,3.3934171199798584,36.88573938289581,06:03:35
23.58031156219646,87.2795023636737,4.466933727264404,37.55191640125979,06:03:36
23.579005655489226,87.28293975104458,6.806674003601074,37.68131880098526,06:04:31
23.57906885122108,87.28298769173503,7.411740779876709,36.25637416722553,06:04:32
23.584356573040143,87.28343897574842,5.910454273223877,32.36801639438388,06:06:11
23.584356573040143,87.28343897574842,0.0,32.349905229820436,06:06:12,BusStop_10+
