Latitude,Longitude,Wait time,Trail_no
23.5193133333,87.3112383333,10,april5th7
23.58186,87.2765766667,2,april5th1
23.5817616667,87.2767466667,4,june049
23.5889566667,87.286225,2,april5th1
23.5888866667,87.2862583333,7,april5th9
23.5888666667,87.28631,2,june049
23.5889216667,87.286225,5,june053
23.5889266667,87.2862683333,4,june055
23.5444816667,87.30267,7,april5th1
23.5333616667,87.3065366667,43,april5th1
23.53332,87.3064983333,3,april5th7
23.5333866667,87.3064933333,9,june047
23.5333516667,87.3065066667,6,june053
23.521005,87.3114366667,5,april5th1
23.5765366667,87.27486,3,april5th3
23.5764433333,87.2749183333,2,april5th7
23.5764183333,87.2749,4,june047
23.5765266667,87.27485,3,june053
23.5764966667,87.2748716667,26,june055
23.5765183333,87.27488,2,june057
23.5763283333,87.2749833333,2,june3
23.5764866667,87.274845,2,june5
23.579795,87.2915666667,9,april5th3
23.5761066667,87.291505,11,april5th3
23.5353716667,87.2985283333,47,april5th3
23.5352716667,87.298625,44,june051
23.5355916667,87.2981966667,21,june053
23.5355733333,87.2982433333,6,june7
23.56921,87.286865,4,april5th5
23.5692183333,87.2868566667,11,april5th9
23.5813816667,87.2774,3,april5th5
23.5574866667,87.29876,12,april5th5
23.5575933333,87.2987733333,2,april5th7
23.5575966667,87.2987566667,9,june043
23.5574083333,87.2987466667,3,june045
23.5574216667,87.2987516667,8,june3
23.5356516667,87.29794,56,april5th5
23.5357333333,87.2978566667,8,june045
23.5827183333,87.2833566667,3,april5th7
23.582745,87.2833266667,23,april5th9
23.5827283333,87.2833033333,10,june049
23.5827383333,87.2833583333,13,june055
23.5829416667,87.2834516667,4,june057
23.5827516667,87.28331,5,june5
23.582745,87.2832883333,7,june7
23.583225,87.2875166667,5,april5th7
23.583215,87.2875183333,18,june055
23.5741916667,87.3025466667,3,april5th7
23.5741866667,87.302555,5,june047
23.5678316667,87.30233,9,april5th7
23.56806,87.3024983333,5,june049
23.5678683333,87.30233,4,june051
23.5678716667,87.3023233333,4,june055
23.5869533333,87.2879033333,24,april5th9
23.5869416667,87.2878916667,11,june055
23.5846366667,87.2875416667,2,april5th9
23.5847433333,87.28757,2,june043
23.5847033333,87.2875033333,6,june045
23.5774333333,87.291545,5,april5th9
23.5483566667,87.3014766667,21,april5th9
23.5107666667,87.3106633333,2,april5th9
23.5107283333,87.310635,8,june043
23.554975,87.29878,3,june033
23.55494,87.2987383333,7,june043
23.5549566667,87.298755,42,june053
23.570955,87.3025433333,4,june041
23.5439483333,87.30792,4,june041
23.5796816667,87.2903366667,3,june043
23.5462033333,87.309575,20,june043
23.5427483333,87.3008116667,4,june043
23.542675,87.30071,2,june047
23.5361233333,87.29587,7,june043
23.536085,87.295855,6,june051
23.536065,87.2958366667,12,june053
23.5360433333,87.2957883333,10,june5
23.536045,87.295805,4,june7
23.5380833333,87.2976916667,9,june045
23.5813216667,87.2747083333,4,june047
23.57197,87.2773566667,10,june049
23.5357316667,87.2962716667,2,june049
23.5722483333,87.2824266667,6,june051
23.571855,87.2779616667,3,june051
23.5700366667,87.3025333333,3,june051
23.501165,87.3062816667,3,june051
23.58349,87.2834683333,2,june053
23.5481766667,87.306495,6,june053
23.548175,87.3066533333,9,june3
23.5660033333,87.28482,12,june055
23.580725,87.2742,3,june055
23.58056,87.2740133333,5,june057
23.495015,87.3167766667,3,june055
23.59059,87.2837866667,2,june057
23.5648316667,87.2988183333,6,june057
23.564955,87.2988466667,6,june5
23.559365,87.29881,22,june057
23.5367783333,87.29632,21,june3
23.58013,87.2735866667,2,june5
23.53449,87.301855,2,june5
23.5427283333,87.3056733333,2,june7
