0.0777643,0.0063915867,-0.015978966,67168629
-0.16192019,0.3749731,0.034088463,67168828
-0.32277513,-0.13635385,0.051132694,67169029
0.0,-0.043675844,-0.027696876,67169229
-0.16937704,0.15978967,0.02130529,67169428
0.18216021,0.13102752,0.08735169,67169629
0.38136467,-0.81705785,0.046871636,67436041
0.13954964,-0.515588,-0.11611383,67436241
0.588026,-0.26525083,-0.1107875,67436440
0.12357067,-0.36645097,-0.11824435,67436641
-0.043675844,-0.386691,-0.08522116,67436840
-0.17470337,-1.2495552,-0.12783173,67437041
-0.08841695,0.7723167,0.06498113,67437241
-0.041545313,0.11291803,-0.083090626,67437440
-0.24927188,-0.32170987,-0.00958738,67437641
-0.15446334,-0.48256478,-0.19600865,67437840,BrokenRoad_4+
-0.10120012,0.91825795,0.099069595,67438041,BrokenRoad_4+
-0.17470337,-0.65194184,-0.007456851,67438241,BrokenRoad_4+
0.12463594,0.60720074,0.08522116,67438440,BrokenRoad_4+
-0.12996227,0.47936898,-0.018109495,67438641,BrokenRoad_4+
-0.2908172,-0.9310411,0.10652644,67438841,BrokenRoad_4+
0.14487596,1.7150757,0.24501082,67439041,BrokenRoad_4+
-0.109722234,-1.3986923,0.040480047,67439241,BrokenRoad_4+
0.111852765,-0.535828,0.11291803,67439440,BrokenRoad_4+
-0.12037488,0.49854377,0.013848438,67439641,BrokenRoad_4+
-0.025566347,-0.039414786,-0.027696876,67439841,BrokenRoad_4+
0.15659387,0.13528858,-0.004261058,67440041,BrokenRoad_4+
0.1107875,-0.13848437,0.07882957,67440241
-0.14807175,-0.05752428,-0.07243798,67440440
-0.19813919,-0.3025351,0.12996227,67440641
-0.12996227,1.3486248,0.19600865,67440841
-0.056459013,0.01917476,0.15339808,67441041
0.34514567,-1.0684602,-0.039414786,67441241
-0.15020229,0.19707392,0.098004326,67441440
0.03834952,-0.6231797,0.015978966,67441640
-0.15765914,0.773382,0.13422331,67441841
-0.20240024,-0.034088463,-0.018109495,67442041
-0.002130529,-0.33768883,-0.008522116,67442241
-0.020240024,-0.16405073,0.12250541,67442440
-0.07137272,0.17896442,0.013848438,67442641
0.10652644,0.056459013,-0.043675844,67442841
0.10546118,-0.18961707,0.066046394,67443041
0.099069595,-0.6562029,-0.10652644,67443241
-0.14487596,-0.53050166,0.014913702,67443440
-0.17896442,-0.52837116,-0.040480047,67443641
0.29507825,-0.85540736,0.051132694,67443841
-0.06072007,0.91186637,0.19920444,67449440
-0.1768339,-1.2687299,0.3025351,67449641,BrokenRoad_5+
0.24181503,0.60933125,0.13209279,67449841,BrokenRoad_5+
0.040480047,-0.36964676,0.0063915867,67450041,BrokenRoad_5+
0.47936898,0.80107886,0.12676647,67450241,BrokenRoad_5+
0.2514024,0.8479505,0.35153726,67450440,BrokenRoad_5+
0.034088463,-1.3145363,-0.21837921,67450641,BrokenRoad_5+
-0.054328486,-0.7190535,-0.33662355,67450841,BrokenRoad_5+
-0.96086854,-0.36645097,-0.0479369,67451041,BrokenRoad_5+
0.26844662,-0.48682585,-0.15765914,67451241,BrokenRoad_5+
-0.44528052,-2.2732744,-0.4878911,67451441,BrokenRoad_5+
0.12676647,0.54328483,-0.0479369,67451641,BrokenRoad_5+
-0.9938917,-1.2314457,0.00958738,67451841,BrokenRoad_5+
0.092678,-0.79894835,-0.06072007,67452041,BrokenRoad_5+
0.31957933,-0.18216021,0.05752428,67452241,BrokenRoad_5+
-0.38775626,-0.56459016,-0.024501082,67452441,BrokenRoad_5+
-0.08948221,0.27377295,-0.09054748,67452641,BrokenRoad_5+
-0.1257012,0.8948221,0.16724652,67452841,BrokenRoad_5+
0.30360037,-0.34940675,-0.052197956,67453041,BrokenRoad_5+
-0.17150757,0.020240024,-0.035153728,67453241,BrokenRoad_5+
-0.06924219,-0.25992453,-0.07243798,67453441,BrokenRoad_5+
0.010652645,0.20240024,0.05326322,67453641,BrokenRoad_5+
-0.044741105,0.35899413,0.06072007,67453841,BrokenRoad_5+
0.17044231,-0.37923414,0.022370553,67454041,BrokenRoad_5+
-0.04261058,-0.57311225,0.018109495,67454242,BrokenRoad_5+
-0.21411815,0.6625945,-0.13315806,67454441,BrokenRoad_5+
0.33768883,0.6018744,-0.0628506,67454640,BrokenRoad_5+
0.018109495,0.21411815,0.06072007,67454841,BrokenRoad_5+
0.31851408,-0.24607609,0.067111656,67455041,BrokenRoad_5+
-0.15765914,0.033023197,0.035153728,67455241,BrokenRoad_5+
-0.018109495,-0.21944447,-0.09054748,67455441,BrokenRoad_5+
-0.020240024,-0.12676647,-0.058589544,67455642,BrokenRoad_5+
-0.17150757,0.7052051,-0.0063915867,67458041,BrokenRoad_5+
-0.01917476,-0.5113269,0.02130529,67458242,BrokenRoad_5+
0.08522116,-0.49641323,-0.14487596,67458440,BrokenRoad_5+
0.099069595,-0.01917476,-0.12783173,67458641,BrokenRoad_5+
-0.15659387,0.15765914,-0.02876214,67458841,BrokenRoad_5+
0.42610577,-0.42077947,-0.113983296,67459042,BrokenRoad_5+
-0.022370553,-0.3685815,-0.083090626,67459241,BrokenRoad_5+
-0.2364887,-0.9598033,-0.039414786,67459441,BrokenRoad_5+
-0.082025364,-0.32703617,-0.070307456,67459641,BrokenRoad_5+
-0.017044231,0.6348976,-0.05006743,67459842,BrokenRoad_5+
0.2961435,0.9704559,0.022370553,67460042,BrokenRoad_5+
-0.20559603,0.8607337,0.07456851,67460242,BrokenRoad_5+
0.28975192,-1.9611518,-0.34194988,67460441,BrokenRoad_5+
-0.8628642,1.7129452,-0.0777643,67460642,BrokenRoad_5+
-0.0479369,-1.2442288,0.02130529,67460842,BrokenRoad_5+
0.22690132,0.9853696,0.18322548,67461042,BrokenRoad_5+
0.004261058,-0.15446334,0.0063915867,67461242,BrokenRoad_5+
-0.39095205,-0.6466155,-0.0063915867,67461441,BrokenRoad_5+
-0.24394555,2.231729,0.28655612,67461642,BrokenRoad_5+
0.76485986,-1.6564862,0.16511598,67461841,BrokenRoad_5+
-0.73503244,0.60293967,0.16724652,67462042,BrokenRoad_5+
0.18322548,-1.8397117,0.096939065,67462242,BrokenRoad_5+
-0.025566347,-1.4146712,-0.50813115,67462441,BrokenRoad_5+
-0.67005134,-1.0034791,-0.033023197,67462642,BrokenRoad_5+
-0.02130529,-0.32384038,-0.2514024,67462842,BrokenRoad_5+
-0.22903186,-1.5968314,0.051132694,67463041,BrokenRoad_5+
-0.10226539,0.31851408,0.040480047,67463242,BrokenRoad_5+
-0.46339002,0.58483016,0.049002163,67463441,BrokenRoad_5+
-0.034088463,-0.43782368,-0.049002163,67463642,BrokenRoad_5+
0.11504856,0.68176925,0.24927188,67463842,BrokenRoad_5+
0.16831177,-0.2759035,-0.061785337,67464042,BrokenRoad_5+
0.43356264,0.13315806,0.043675844,67464242,BrokenRoad_5+
-0.38775626,-0.013848438,0.002130529,67464441,BrokenRoad_5+
0.0031957934,0.109722234,-0.10865697,67464642,BrokenRoad_5+
0.1949434,0.13528858,-0.017044231,67464842,BrokenRoad_5+
0.20559603,1.3411679,0.06924219,67465042,BrokenRoad_5+
-0.0063915867,0.9459548,0.3323625,67465242,BrokenRoad_5+
0.07563377,-0.62104917,0.15659387,67465441,BrokenRoad_5+
-0.23222765,-0.7882957,-0.0053263223,67465641,BrokenRoad_5+
-0.08415589,0.71692294,0.20559603,67465842,BrokenRoad_5+
0.05006743,1.0173275,0.4708469,67466042,BrokenRoad_5+
0.16937704,0.4697816,0.25672874,67466242,BrokenRoad_5+
0.21518342,-0.74035877,0.23755397,67466441,BrokenRoad_5+
0.25672874,-1.180313,0.096939065,67466642,BrokenRoad_5+
-0.0628506,1.0844392,0.24927188,67466842,BrokenRoad_5+
-0.90014845,-0.07243798,0.42290998,67467042,BrokenRoad_5+
0.21944447,0.15446334,-0.007456851,67467242,BrokenRoad_5+
-0.1438107,1.1291803,0.16511598,67467441,BrokenRoad_5+
-0.28442562,1.2090751,0.31851408,67467642,BrokenRoad_5+
0.0053263223,-0.25566345,-0.23222765,67467842,BrokenRoad_5+
1.7821873,1.7853832,0.008522116,67468042,BrokenRoad_5+
0.32277513,-0.61146176,-0.04261058,67468242,BrokenRoad_5+
-0.34088463,-1.7129452,0.18961707,67468441,BrokenRoad_5+
-0.12676647,-1.442368,-0.46658581,67468642,BrokenRoad_5+
-0.098004326,-0.43036684,0.010652645,67468841,BrokenRoad_5+
0.30573088,1.6202672,0.23542345,67469042,BrokenRoad_5+
-0.030892668,-0.1107875,0.03621899,67469242,BrokenRoad_5+
0.096939065,-0.15020229,-0.035153728,67469441,BrokenRoad_5+
0.16724652,0.6199839,0.18961707,67469642,BrokenRoad_5+
0.34194988,1.0013486,0.16937704,67469842,BrokenRoad_5+
0.044741105,-0.8681905,-0.23222765,67470042,BrokenRoad_5+
-0.03195793,-0.2759035,-0.09374327,67470242,BrokenRoad_5+
0.3749731,0.88416946,0.06498113,67470441,BrokenRoad_5+
0.21198763,0.15446334,-0.02876214,67470642,BrokenRoad_5+
0.42717105,-0.5603291,0.18109496,67470842,BrokenRoad_5+
0.46232477,-1.5403724,-0.1768339,67471042,BrokenRoad_5+
-0.8692558,-0.56885123,-0.13209279,67471241,BrokenRoad_5+
-1.1195929,0.08735169,-0.3323625,67471441,BrokenRoad_5+
0.017044231,-0.74248934,0.16405073,67471642,BrokenRoad_5+
-0.43249735,0.6711166,0.08735169,67471842,BrokenRoad_5+
0.2034655,-0.5816344,-0.14487596,67472042,BrokenRoad_5+
-0.4165184,-0.47723848,-0.10546118,67472242,BrokenRoad_5+
-0.13315806,-0.5858954,0.022370553,67472441,BrokenRoad_5+
0.53795856,-0.06391586,0.03834952,67472642,BrokenRoad_5+
-0.25033715,-0.67005134,0.029827405,67472842,BrokenRoad_5+
0.15446334,-0.15978967,0.10546118,67473042,BrokenRoad_5+
-0.10439591,0.7073356,0.18642128,67473242,BrokenRoad_5+
0.07350325,0.9139969,0.13848437,67473441,BrokenRoad_5+
0.16511598,0.9885654,0.28655612,67473642,BrokenRoad_5+
0.02663161,0.72864085,0.16724652,67473842,BrokenRoad_5+
0.28016454,0.26205504,0.10439591,67474042,BrokenRoad_5+
-0.11611383,-0.10652644,0.022370553,67474242,BrokenRoad_5+
-0.040480047,0.068176925,-0.007456851,67474442,BrokenRoad_5+
-0.16405073,-0.21731395,0.014913702,67474642,BrokenRoad_5+
-0.3153183,-0.31638354,0.10333065,67474842,BrokenRoad_5+
-0.011717909,0.72651035,0.14807175,67475042,BrokenRoad_5+
-0.05006743,-0.08735169,-0.10759171,67475242,BrokenRoad_5+
-0.18748654,-0.5699165,0.08735169,67475441,BrokenRoad_5+
-0.12144014,-0.0958738,0.033023197,67475642,BrokenRoad_5+
0.13741912,0.24394555,0.018109495,67475842,BrokenRoad_5+
-0.008522116,1.3145363,0.03834952,67476042,BrokenRoad_5+
0.5475459,1.1579424,0.07137272,67476242,BrokenRoad_5+
0.6775082,0.10652644,0.1555286,67476442,BrokenRoad_5+
-0.22796659,-0.9960222,-0.049002163,67476642,BrokenRoad_5+
0.42930156,0.27803403,0.015978966,67476842,BrokenRoad_5+
0.34301513,1.2026836,-0.015978966,67477042,BrokenRoad_5+
0.37816888,-0.62104917,0.08948221,67477242
-0.24074976,0.15020229,0.18216021,67477442
-0.35153726,-0.97258645,-0.10759171,67477642
-0.25885925,-0.73609775,-0.17044231,67477841
-0.53795856,-0.5816344,-0.034088463,67478042
0.5773733,0.3771036,0.23542345,67478242
0.18961707,0.6743124,0.13209279,67478441
0.28016454,-0.7840346,0.04261058,67478642
0.26418558,0.5816344,0.017044231,67478842
0.067111656,0.4910869,0.013848438,67479042
-0.14168017,-0.4484763,0.034088463,67479242
-0.16724652,0.6263755,0.22903186,67479441
-0.08522116,-0.109722234,0.13209279,67479642
